"Id","SalePrice"
1461,131183.348090994
1462,149002.944712117
1463,184670.888427532
1464,185083.825718373
1465,184769.042130853
1466,182203.002701532
1467,177747.404516823
1468,178876.05546063
1469,193402.857752868
1470,109194.540094849
1471,202418.974061609
1472,97960.9369346611
1473,101195.329614359
1474,161750.786118238
1475,99009.3149384504
1476,390361.298027734
1477,267893.83098208
1478,341483.926662536
1479,304524.623534431
1480,471829.968968342
1481,302740.887550674
1482,237371.405941737
1483,179651.253933392
1484,180577.139676403
1485,179587.864927513
1486,185012.242882547
1487,324819.648675319
1488,262323.946176371
1489,202772.082021926
1490,187567.44632959
1491,192959.353681219
1492,93001.9430294122
1493,201554.534774416
1494,294322.803068699
1495,313883.542527253
1496,192986.37163297
1497,151588.385605929
1498,149261.666113358
1499,147999.804762955
1500,158717.590012291
1501,176999.434535041
1502,149364.539416573
1503,321288.339321815
1504,246499.804416517
1505,199146.814551977
1506,220051.206811317
1507,260179.182143523
1508,179092.285782856
1509,159504.477989145
1510,152279.287905093
1511,153927.925420527
1512,187095.037489839
1513,206167.555859442
1514,191222.500537684
1515,209577.108019058
1516,150238.49002402
1517,152457.512292367
1518,170755.799457176
1519,219775.872290294
1520,140867.361365782
1521,143298.5903299
1522,163463.256918944
1523,118279.043999609
1524,125226.33069745
1525,122849.508169944
1526,117038.009900193
1527,111819.11579943
1528,139571.818090097
1529,133605.376744903
1530,168235.247080903
1531,125698.038882488
1532,94230.9738549736
1533,142582.818411949
1534,147183.308731774
1535,135505.361463661
1536,98171.0106190575
1537,113929.384939613
1538,158465.781019454
1539,196205.276204127
1540,122531.178399967
1541,142866.247627577
1542,142856.328917196
1543,204503.376416804
1544,89756.5672990032
1545,108825.798370215
1546,123456.691008182
1547,133986.557091382
1548,115143.195329014
1549,127582.026750791
1550,145861.039465162
1551,110149.108160576
1552,130792.127839816
1553,121525.885117469
1554,141002.557788987
1555,138023.092851079
1556,89873.8612211919
1557,98567.1332024191
1558,103215.245132245
1559,102134.092219822
1560,145132.348983559
1561,136228.601969257
1562,136519.478649114
1563,121480.203522493
1564,189146.670524598
1565,136333.449414395
1566,227243.758027183
1567,95503.1180296198
1568,202375.579829361
1569,152784.232645139
1570,135321.47898662
1571,144399.693922339
1572,141423.754550096
1573,208471.983213745
1574,169693.494740399
1575,197385.065178096
1576,260538.825425209
1577,208396.556281779
1578,142280.661437668
1579,147668.868791726
1580,187672.894015705
1581,138020.327675354
1582,119811.671017008
1583,329231.55469493
1584,239674.294496683
1585,143770.865505821
1586,99461.5792683793
1587,123439.669345999
1588,137578.262985308
1589,102659.762800831
1590,139743.246176583
1591,101927.335453168
1592,123912.019866037
1593,102483.845759153
1594,134853.030685667
1595,106832.013519639
